id,application_id,name,url,verb,permissioncode
1,1,getpollingstations,NULL,NULL,getpollingstations
2,1,getnewnotifications,NULL,NULL,getnewnotifications
3,1,readnotification,NULL,NULL,readnotification
4,1,getallnotifications,NULL,NULL,getallnotifications
5,1,getlist,NULL,NULL,getlist
6,1,getprepollactivities,NULL,NULL,getprepollactivities
7,1,updateprepollactivity,NULL,NULL,updateprepollactivity
8,1,openstation,NULL,NULL,openstation
9,1,getissuelist,NULL,NULL,getissuelist
10,1,getissuepriority,NULL,NULL,getissuepriority
11,1,reportissue,NULL,NULL,reportissue
12,1,getclosestats,NULL,NULL,getclosestats
13,1,updateclosestats,NULL,NULL,updateclosestats
14,1,closepollingstation,NULL,NULL,closepollingstation
15,1,getpollingstations,NULL,NULL,getpollingstations
16,1,starttrack,NULL,NULL,starttrack
17,1,gettrackingstatus,NULL,NULL,gettrackingstatus
18,1,getnewnotificationpulse,NULL,NULL,getnewnotificationpulse
19,1,getorginfo,NULL,NULL,getorginfo
20,1,getelectionsbystationid,NULL,NULL,getelectionsbystationid
21,1,getprogress,NULL,NULL,getprogress
22,1,updateprogress,NULL,NULL,updateprogress
23,3,getallroles,NULL,NULL,getallroles
24,3,getnotificationbyid,NULL,NULL,getnotificationbyid
25,3,getglobalnotifications,NULL,NULL,getglobalnotifications
26,3,getallclosestats,NULL,NULL,getallclosestats
27,3,getallclosestatssummary,NULL,NULL,getallclosestatssummary
28,1,resolveissue,NULL,NULL,resolveissue
29,1,getissuebyid,NULL,NULL,getissuebyid
30,1,assignissue,NULL,NULL,assignissue
31,1,getallusers,NULL,NULL,getallusers
32,1,updateissue,NULL,NULL,updateissue
